date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:57:53	143/143	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2029%20Sep%202017%2005:01:14%20GMT	http://webdesign-finder.com/robots.txt		(from )
12:57:55	50885/50885	---MCZ	200	added ('OK')	text/html	date:Mon,%2011%20Jun%202018%2013:43:54%20GMT	http://webdesign-finder.com/html/plastrix/	/Users/apple/websites/preet%201/webdesign-finder.com/html/plastrix/index.html	(from )
12:57:55	121200/121200	---M-Z	200	added ('OK')	text/css	etag:%221d970-56e5df0ddec47-gzip%22	http://webdesign-finder.com/html/plastrix/css/bootstrap.min.css	/Users/apple/websites/preet%201/webdesign-finder.com/html/plastrix/css/bootstrap.min.css	(from http://webdesign-finder.com/html/plastrix/)
12:57:57	80388/80388	---M-Z	200	added ('OK')	text/css	etag:%2213a04-56e5df0ddcd07-gzip%22	http://webdesign-finder.com/html/plastrix/css/fonts.css	/Users/apple/websites/preet%201/webdesign-finder.com/html/plastrix/css/fonts.css	(from http://webdesign-finder.com/html/plastrix/)
12:57:59	23728/23728	---M-Z	200	added ('OK')	text/css	etag:%225cb0-56e5df0ddcd07-gzip%22	http://webdesign-finder.com/html/plastrix/css/shop.css	/Users/apple/websites/preet%201/webdesign-finder.com/html/plastrix/css/shop.css	(from http://webdesign-finder.com/html/plastrix/)
12:58:01	2379/2379	---M--	200	added ('OK')	image/png	etag:%2294b-56e5df0ee47c8%22	http://webdesign-finder.com/html/plastrix/images/logo.png	/Users/apple/websites/preet%201/webdesign-finder.com/html/plastrix/images/logo.png	(from http://webdesign-finder.com/html/plastrix/)
12:58:05	50885/50885	---MCZ	200	added ('OK')	text/html	date:Mon,%2011%20Jun%202018%2013:43:54%20GMT	http://webdesign-finder.com/html/plastrix/index.html	/Users/apple/websites/preet%201/webdesign-finder.com/html/plastrix/index-2.html	(from http://webdesign-finder.com/html/plastrix/)
12:58:06	48117/48117	---MCZ	200	added ('OK')	text/html	date:Mon,%2011%20Jun%202018%2013:43:54%20GMT	http://webdesign-finder.com/html/plastrix/index-static.html	/Users/apple/websites/preet%201/webdesign-finder.com/html/plastrix/index-static.html	(from http://webdesign-finder.com/html/plastrix/)
12:58:07	39337/39337	---MCZ	200	added ('OK')	text/html	date:Mon,%2011%20Jun%202018%2013:43:54%20GMT	http://webdesign-finder.com/html/plastrix/index-single.html	/Users/apple/websites/preet%201/webdesign-finder.com/html/plastrix/index-single.html	(from http://webdesign-finder.com/html/plastrix/)
12:58:08	31469/31469	---MCZ	200	added ('OK')	text/html	date:Mon,%2011%20Jun%202018%2013:43:53%20GMT	http://webdesign-finder.com/html/plastrix/about.html	/Users/apple/websites/preet%201/webdesign-finder.com/html/plastrix/about.html	(from http://webdesign-finder.com/html/plastrix/)
